time,open,high,low,close,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes
1591304400,1.13378,1.13838,1.12781,1.12891,0,0,0,0,0,0,0
1591563600,1.1293,1.13198,1.12682,1.12939,0,0,0,0,0,0,0
1591650000,1.12939,1.1363699999999999,1.1241,1.13394,0,0,0,0,0,0,0
1591736400,1.13394,1.14225,1.13208,1.13722,0,0,0,0,0,0,0
1591822800,1.13722,1.1403699999999999,1.12887,1.1299,0,0,0,0,0,0,0
1591909200,1.1299,1.13406,1.12125,1.12548,0,0,0,0,0,0,0
1592168400,1.12333,1.13326,1.12265,1.1322699999999999,0,0,0,0,0,0,0
1592254800,1.1322699999999999,1.13534,1.12278,1.12629,0,0,0,0,0,0,0
1592341200,1.12629,1.12939,1.12071,1.1243,0,0,0,0,0,0,0
1592427600,1.1243,1.12614,1.11856,1.12057,0,0,0,0,0,0,0
1592514000,1.12057,1.12544,1.11683,1.11733,0,0,0,0,0,0,0
1592773200,1.11831,1.12699,1.11684,1.12601,0,0,0,0,0,0,0
1592859600,1.12601,1.13487,1.12331,1.13073,0,0,0,0,0,0,0
1592946000,1.13073,1.13258,1.12484,1.12502,0,0,0,0,0,0,0
1593032400,1.12502,1.12597,1.11904,1.12174,0,0,0,0,0,0,0
1593118800,1.12174,1.12394,1.11953,1.12162,0,0,0,0,0,0,0
1593378000,1.12157,1.12878,1.12157,1.12412,0,0,0,0,0,0,0
1593464400,1.12412,1.1262,1.11909,1.12331,0,0,0,0,0,0,0
1593550800,1.12331,1.12752,1.11852,1.12506,0,0,0,0,0,0,0
1593637200,1.12506,1.1302699999999999,1.12233,1.12391,0,0,0,0,0,0,0
1593723600,1.12391,1.12512,1.12192,1.12434,0,0,0,0,0,0,0
1593982800,1.12407,1.1345399999999999,1.12407,1.13091,0,0,0,0,0,0,0
1594069200,1.13091,1.13326,1.12587,1.12731,0,0,0,0,0,0,0
1594155600,1.12731,1.13519,1.12623,1.13295,0,0,0,0,0,0,0
1594242000,1.13295,1.13706,1.12802,1.12845,0,0,0,0,0,0,0
1594328400,1.12845,1.13247,1.1254899999999999,1.12972,0,0,0,0,0,0,0
1594587600,1.13026,1.13749,1.13009,1.13438,0,0,0,0,0,0,0
1594674000,1.13438,1.14088,1.13251,1.13995,0,0,0,0,0,0,0
1594760400,1.13995,1.1452,1.13909,1.1411499999999999,0,0,0,0,0,0,0
1594846800,1.1411499999999999,1.14418,1.13705,1.13835,0,0,0,0,0,0,0
1594933200,1.13835,1.1443699999999999,1.1373199999999999,1.14251,0,0,0,0,0,0,0
1595192400,1.14155,1.14677,1.14024,1.14472,0,0,0,0,0,0,0
1595278800,1.14472,1.15398,1.1423,1.15266,0,0,0,0,0,0,0
1595365200,1.15266,1.16016,1.15071,1.15696,0,0,0,0,0,0,0
1595451600,1.15696,1.16268,1.15403,1.15959,0,0,0,0,0,0,0
1595538000,1.15959,1.16581,1.15812,1.16541,0,0,0,0,0,0,0
1595797200,1.16425,1.17814,1.16415,1.17512,0,0,0,0,0,0,0
1595883600,1.17512,1.17737,1.16987,1.17152,0,0,0,0,0,0,0
1595970000,1.17152,1.1806699999999999,1.17109,1.17914,0,0,0,0,0,0,0
1596056400,1.17914,1.18483,1.17311,1.18469,0,0,0,0,0,0,0
1596142800,1.18469,1.1909,1.1762,1.17754,0,0,0,0,0,0,0
1596402000,1.17717,1.17968,1.16957,1.1762,0,0,0,0,0,0,0
1596488400,1.1762,1.18063,1.17214,1.18023,0,0,0,0,0,0,0
1596574800,1.18023,1.19049,1.1792799999999999,1.18629,0,0,0,0,0,0,0
1596661200,1.18629,1.19162,1.1818,1.18763,0,0,0,0,0,0,0
1596747600,1.18763,1.18831,1.17555,1.17832,0,0,0,0,0,0,0
1597006800,1.17877,1.18007,1.17359,1.17376,0,0,0,0,0,0,0
1597093200,1.17376,1.1808,1.1722,1.17397,0,0,0,0,0,0,0
1597179600,1.17397,1.1817199999999999,1.17111,1.17837,0,0,0,0,0,0,0
1597266000,1.17837,1.18642,1.17778,1.18131,0,0,0,0,0,0,0
1597352400,1.18131,1.18504,1.17817,1.18405,0,0,0,0,0,0,0
1597611600,1.18387,1.18811,1.18287,1.18698,0,0,0,0,0,0,0
1597698000,1.18698,1.19656,1.1864,1.19313,0,0,0,0,0,0,0
1597784400,1.19313,1.19527,1.18302,1.18366,0,0,0,0,0,0,0
1597870800,1.18366,1.18687,1.18022,1.18605,0,0,0,0,0,0,0
1597957200,1.18605,1.18829,1.1754,1.17939,0,0,0,0,0,0,0
1598216400,1.17894,1.18496,1.17842,1.17874,0,0,0,0,0,0,0
1598302800,1.17874,1.18439,1.17842,1.18344,0,0,0,0,0,0,0
1598389200,1.18344,1.18394,1.17725,1.18298,0,0,0,0,0,0,0
1598475600,1.18298,1.1902,1.17621,1.18212,0,0,0,0,0,0,0
1598562000,1.18212,1.19197,1.1811,1.19029,0,0,0,0,0,0,0
1598821200,1.18991,1.19661,1.18839,1.19361,0,0,0,0,0,0,0
1598907600,1.19361,1.20114,1.19012,1.19113,0,0,0,0,0,0,0
1598994000,1.19113,1.19288,1.18223,1.18547,0,0,0,0,0,0,0
1599080400,1.18547,1.18646,1.1789,1.18514,0,0,0,0,0,0,0
1599166800,1.18514,1.18653,1.17808,1.18356,0,0,0,0,0,0,0
1599426000,1.18455,1.18487,1.1811099999999999,1.18119,0,0,0,0,0,0,0
1599512400,1.18119,1.18276,1.17654,1.17741,0,0,0,0,0,0,0
1599598800,1.17741,1.18342,1.17527,1.18027,0,0,0,0,0,0,0
1599685200,1.18027,1.19177,1.17984,1.18146,0,0,0,0,0,0,0
1599771600,1.18146,1.18742,1.181,1.18436,0,0,0,0,0,0,0
1600030800,1.18335,1.1888,1.18319,1.18632,0,0,0,0,0,0,0
1600117200,1.18632,1.19005,1.18395,1.18461,0,0,0,0,0,0,0
1600203600,1.18461,1.18827,1.17878,1.1815499999999999,0,0,0,0,0,0,0
1600290000,1.1815499999999999,1.18524,1.17372,1.1848,0,0,0,0,0,0,0
1600376400,1.1848,1.18705,1.18261,1.18374,0,0,0,0,0,0,0
1600635600,1.18405,1.18719,1.17316,1.17706,0,0,0,0,0,0,0
1600722000,1.17706,1.17737,1.16916,1.17077,0,0,0,0,0,0,0
1600808400,1.17077,1.1719,1.16512,1.16594,0,0,0,0,0,0,0
1600894800,1.16594,1.16869,1.16265,1.16677,0,0,0,0,0,0,0
1600981200,1.16677,1.16851,1.16121,1.16279,0,0,0,0,0,0,0
1601240400,1.16229,1.168,1.16151,1.16639,0,0,0,0,0,0,0
1601326800,1.16639,1.17455,1.16608,1.17425,0,0,0,0,0,0,0
1601413200,1.17425,1.1755,1.16843,1.17191,0,0,0,0,0,0,0
1601499600,1.17191,1.17696,1.17167,1.17442,0,0,0,0,0,0,0
1601586000,1.17442,1.17487,1.16958,1.17138,0,0,0,0,0,0,0
1601845200,1.17115,1.17976,1.1706,1.1781,0,0,0,0,0,0,0
1601931600,1.1781,1.18078,1.17318,1.17334,0,0,0,0,0,0,0
1602018000,1.17334,1.1782,1.1725,1.17602,0,0,0,0,0,0,0
1602104400,1.17602,1.17818,1.17329,1.17578,0,0,0,0,0,0,0
1602190800,1.17578,1.18309,1.17525,1.18291,0,0,0,0,0,0,0
1602450000,1.18086,1.18268,1.17868,1.18104,0,0,0,0,0,0,0
1602536400,1.18104,1.18158,1.17305,1.17433,0,0,0,0,0,0,0
1602622800,1.17433,1.1771,1.17198,1.17449,0,0,0,0,0,0,0
1602709200,1.17449,1.17578,1.16886,1.17073,0,0,0,0,0,0,0
1602795600,1.17073,1.17462,1.16939,1.17133,0,0,0,0,0,0,0
1603054800,1.17167,1.17939,1.17032,1.17693,0,0,0,0,0,0,0
1603141200,1.17693,1.18408,1.176,1.18213,0,0,0,0,0,0,0
1603227600,1.18213,1.18808,1.18203,1.18565,0,0,0,0,0,0,0
1603314000,1.18565,1.18669,1.18113,1.18177,0,0,0,0,0,0,0
1603400400,1.18177,1.18648,1.17868,1.18573,0,0,0,0,0,0,0
1603659600,1.18516,1.18597,1.1803299999999999,1.18085,0,0,0,0,0,0,0
1603746000,1.18085,1.1838899999999999,1.17924,1.17947,0,0,0,0,0,0,0
1603832400,1.17947,1.17973,1.17178,1.17462,0,0,0,0,0,0,0
1603918800,1.17462,1.17588,1.16502,1.16729,0,0,0,0,0,0,0
1604005200,1.16729,1.17043,1.164,1.1645,0,0,0,0,0,0,0
1604268000,1.1647,1.16558,1.16222,1.1641,0,0,0,0,0,0,0
1604354400,1.1641,1.174,1.16309,1.17112,0,0,0,0,0,0,0
1604440800,1.17112,1.1771,1.16025,1.17211,0,0,0,0,0,0,0
